17,1,0
17,3,0
17,5,0
16,6,0
15,8,0
14,10,0
13,11,0
12,12,0
11,13,0
10,14,0
8,15,0
6,16,0
5,17,0
3,17,0
1,17,0
0,20,0
-1,19,0
-3,19,0
-5,19,0
-7,18,0
-9,18,0
-11,17,0
-13,16,0
-14,14,0
-16,13,0
-19,12,0
-20,10,0
-21,8,0
-22,6,0
-22,4,0
-23,2,0
-24,0,0
-23,-2,0
-23,-4,0
-22,-6,0
-23,-9,0
-22,-11,0
-20,-13,0
-19,-15,0
-17,-17,0
-15,-19,0
-13,-20,0
-11,-22,0
-9,-23,0
-7,-23,0
-4,-22,0
-2,-22,0
0,-23,0
2,-22,0
4,-22,0
5,-19,0
7,-18,0
9,-17,0
11,-16,0
12,-15,0
14,-14,0
15,-12,0
16,-11,0
17,-9,0
18,-7,0
17,-5,0
17,-3,0
17,-1,0
18,0,0
15,1,3
15,3,3
15,4,3
14,6,3
14,7,3
14,9,3
13,10,3
12,12,3
10,13,3
9,14,3
8,15,3
6,16,3
5,17,3
3,17,3
1,17,3
0,19,3
-1,18,3
-3,18,3
-5,18,3
-7,17,3
-9,18,3
-11,17,3
-13,16,3
-14,14,3
-16,13,3
-19,13,3
-21,11,3
-22,9,3
-22,6,3
-23,4,3
-23,2,3
-24,0,3
-23,-2,3
-23,-4,3
-22,-6,3
-24,-9,3
-22,-12,3
-21,-14,3
-20,-16,3
-18,-18,3
-16,-20,3
-14,-21,3
-12,-22,3
-9,-24,3
-7,-24,3
-4,-23,3
-2,-23,3
0,-24,3
2,-23,3
4,-23,3
6,-20,3
8,-19,3
9,-18,3
11,-17,3
13,-16,3
13,-13,3
14,-12,3
15,-10,3
16,-8,3
17,-7,3
17,-5,3
17,-3,3
17,-1,3
18,0,3
15,1,6
15,3,6
15,4,6
14,6,6
14,7,6
13,8,6
12,10,6
11,11,6
10,12,6
8,13,6
8,15,6
6,16,6
5,17,6
3,17,6
1,17,6
0,19,6
-1,18,6
-3,18,6
-5,18,6
-7,17,6
-9,18,6
-11,17,6
-13,16,6
-14,14,6
-16,13,6
-19,12,6
-20,10,6
-21,8,6
-22,6,6
-22,4,6
-23,2,6
-24,0,6
-23,-2,6
-23,-4,6
-22,-6,6
-24,-9,6
-22,-12,6
-21,-14,6
-20,-16,6
-18,-18,6
-16,-20,6
-14,-21,6
-12,-22,6
-9,-24,6
-7,-24,6
-4,-22,6
-2,-22,6
0,-23,6
2,-22,6
4,-22,6
6,-20,6
8,-19,6
9,-18,6
11,-17,6
13,-16,6
12,-12,6
13,-11,6
14,-10,6
15,-8,6
16,-6,6
15,-4,6
15,-3,6
15,-1,6
16,0,6
15,1,9
15,3,9
15,4,9
14,6,9
14,7,9
12,8,9
11,9,9
10,10,9
9,11,9
8,12,9
7,13,9
5,13,9
4,14,9
2,14,9
1,14,9
0,18,9
-1,17,9
-3,17,9
-5,17,9
-6,16,9
-9,17,9
-11,16,9
-12,15,9
-14,14,9
-15,12,9
-17,11,9
-18,9,9
-19,8,9
-20,6,9
-20,4,9
-22,2,9
-23,0,9
-22,-2,9
-22,-4,9
-22,-6,9
-22,-9,9
-21,-11,9
-19,-13,9
-18,-15,9
-16,-16,9
-15,-18,9
-13,-19,9
-11,-21,9
-9,-22,9
-6,-22,9
-4,-21,9
-2,-21,9
0,-22,9
2,-21,9
4,-21,9
5,-18,9
7,-17,9
8,-16,9
10,-15,9
12,-14,9
11,-11,9
12,-10,9
13,-8,9
14,-7,9
14,-6,9
15,-4,9
15,-3,9
15,-1,9
16,0,9
13,1,12
13,2,12
13,4,12
12,5,12
12,6,12
12,8,12
11,9,12
10,10,12
9,11,12
8,12,12
7,14,12
6,14,12
4,15,12
3,15,12
1,15,12
0,18,12
-1,17,12
-3,17,12
-5,17,12
-6,16,12
-9,17,12
-11,16,12
-12,15,12
-14,14,12
-15,12,12
-17,11,12
-18,9,12
-19,8,12
-20,6,12
-20,4,12
-22,2,12
-23,0,12
-22,-2,12
-22,-4,12
-22,-6,12
-22,-9,12
-21,-11,12
-19,-13,12
-18,-15,12
-16,-16,12
-14,-17,12
-12,-19,12
-10,-20,12
-8,-21,12
-6,-22,12
-4,-20,12
-2,-20,12
0,-21,12
2,-20,12
4,-20,12
5,-18,12
7,-17,12
8,-16,12
10,-15,12
12,-14,12
11,-11,12
12,-10,12
13,-8,12
14,-7,12
14,-6,12
14,-4,12
14,-2,12
14,-1,12
15,0,12
13,1,15
13,2,15
13,4,15
12,5,15
12,6,15
12,8,15
11,9,15
10,10,15
9,11,15
8,12,15
7,14,15
6,14,15
4,15,15
3,15,15
1,15,15
0,18,15
-1,17,15
-3,17,15
-5,17,15
-6,16,15
-9,17,15
-11,16,15
-12,15,15
-14,14,15
-15,12,15
-17,11,15
-18,9,15
-19,8,15
-20,6,15
-20,4,15
-22,2,15
-23,0,15
-22,-2,15
-22,-4,15
-22,-6,15
-22,-9,15
-21,-11,15
-19,-13,15
-18,-15,15
-16,-16,15
-14,-17,15
-12,-19,15
-10,-20,15
-8,-21,15
-6,-22,15
-4,-21,15
-2,-21,15
0,-22,15
2,-21,15
4,-21,15
5,-18,15
7,-17,15
8,-16,15
10,-15,15
12,-14,15
11,-11,15
12,-10,15
13,-8,15
14,-7,15
14,-6,15
14,-4,15
14,-2,15
14,-1,15
15,0,15
13,1,18
13,2,18
