27,2,0
27,5,0
26,8,0
25,10,0
24,13,0
25,17,0
23,19,0
21,21,0
19,23,0
17,25,0
14,26,0
11,27,0
8,28,0
5,29,0
2,29,0
0,29,0
-2,28,0
-5,28,0
-8,27,0
-11,26,0
-13,25,0
-16,24,0
-18,22,0
-20,20,0
-22,18,0
-21,14,0
-22,12,0
-24,9,0
-24,7,0
-25,5,0
-22,2,0
-23,0,0
-22,-2,0
-22,-4,0
-22,-6,0
-22,-9,0
-21,-11,0
-19,-13,0
-18,-15,0
-16,-16,0
-15,-18,0
-13,-19,0
-11,-21,0
-9,-22,0
-6,-22,0
-4,-22,0
-2,-22,0
0,-23,0
2,-22,0
4,-22,0
6,-22,0
9,-22,0
11,-21,0
13,-19,0
15,-18,0
18,-18,0
20,-16,0
21,-14,0
22,-12,0
24,-9,0
25,-7,0
26,-5,0
26,-2,0
27,0,0
27,2,3
27,5,3
26,8,3
25,10,3
24,13,3
26,17,3
24,20,3
22,22,3
20,24,3
17,26,3
14,27,3
11,28,3
8,29,3
6,30,3
3,30,3
0,30,3
-2,29,3
-5,29,3
-8,28,3
-11,27,3
-14,27,3
-17,25,3
-19,23,3
-21,21,3
-23,19,3
-22,15,3
-23,12,3
-24,10,3
-25,7,3
-26,5,3
-24,2,3
-25,0,3
-24,-2,3
-24,-4,3
-23,-7,3
-23,-9,3
-22,-11,3
-20,-13,3
-19,-15,3
-17,-17,3
-15,-19,3
-13,-20,3
-11,-22,3
-9,-23,3
-7,-23,3
-4,-24,3
-2,-24,3
0,-25,3
2,-24,3
4,-24,3
7,-24,3
9,-24,3
12,-22,3
14,-21,3
16,-20,3
20,-20,3
22,-18,3
24,-16,3
25,-13,3
26,-11,3
27,-8,3
28,-5,3
28,-2,3
29,0,3
29,2,6
29,5,6
28,8,6
27,11,6
26,14,6
28,18,6
26,21,6
24,24,6
21,26,6
18,28,6
16,29,6
13,31,6
9,32,6
6,33,6
3,33,6
0,33,6
-3,32,6
-6,32,6
-9,31,6
-12,30,6
-16,30,6
-19,29,6
-22,27,6
-24,24,6
-27,22,6
-24,16,6
-26,14,6
-27,11,6
-28,8,6
-29,5,6
-27,2,6
-28,0,6
-27,-2,6
-27,-5,6
-26,-8,6
-24,-10,6
-23,-12,6
-22,-15,6
-20,-17,6
-19,-19,6
-17,-20,6
-15,-22,6
-12,-23,6
-10,-24,6
-7,-25,6
-5,-25,6
-2,-25,6
0,-26,6
2,-25,6
5,-25,6
7,-25,6
10,-24,6
12,-23,6
15,-22,6
17,-20,6
21,-21,6
23,-19,6
24,-16,6
26,-14,6
27,-11,6
30,-9,6
31,-6,6
31,-3,6
32,0,6
