31,3,0
31,6,0
32,9,0
31,13,0
29,16,0
28,18,0
26,21,0
24,24,0
22,27,0
19,29,0
16,30,0
13,32,0
9,32,0
6,33,0
3,33,0
0,34,0
-3,33,0
-6,34,0
-10,33,0
-13,32,0
-16,30,0
-19,29,0
-22,27,0
-24,24,0
-27,22,0
-29,19,0
-30,16,0
-28,11,0
-29,8,0
-30,6,0
-30,3,0
-31,0,0
-26,-2,0
-26,-5,0
-25,-7,0
-24,-10,0
-23,-12,0
-22,-15,0
-20,-17,0
-19,-19,0
-17,-20,0
-15,-22,0
-11,-22,0
-9,-23,0
-7,-23,0
-4,-24,0
-2,-24,0
0,-23,0
2,-22,0
4,-22,0
6,-22,0
8,-21,0
12,-22,0
14,-21,0
16,-20,0
18,-18,0
20,-16,0
22,-15,0
23,-12,0
24,-10,0
25,-7,0
26,-5,0
27,-2,0
28,0,0
28,2,3
28,5,3
27,8,3
26,11,3
25,13,3
29,20,3
27,22,3
25,25,3
22,27,3
20,29,3
17,32,3
14,34,3
10,35,3
7,36,3
3,36,3
0,35,3
-3,34,3
-6,34,3
-10,33,3
-13,32,3
-19,36,3
-22,34,3
-26,31,3
-28,28,3
-31,26,3
-29,19,3
-30,16,3
-32,13,3
-33,10,3
-34,6,3
-31,3,3
-32,0,3
-31,-3,3
-31,-6,3
-30,-9,3
-27,-11,3
-26,-14,3
-24,-16,3
-23,-19,3
-21,-21,3
-18,-22,3
-16,-24,3
-13,-25,3
-11,-26,3
-8,-27,3
-5,-25,3
-2,-25,3
0,-26,3
2,-25,3
5,-25,3
7,-24,3
9,-24,3
12,-22,3
14,-21,3
16,-20,3
19,-19,3
21,-17,3
23,-15,3
24,-13,3
25,-10,3
27,-8,3
28,-5,3
28,-2,3
29,0,3
30,3,6
30,6,6
29,8,6
28,11,6
27,14,6
29,20,6
27,22,6
25,25,6
22,27,6
20,29,6
17,33,6
14,35,6
11,36,6
7,37,6
3,37,6
0,38,6
-3,37,6
-7,37,6
-11,36,6
-14,35,6
-21,39,6
-25,37,6
-28,34,6
-31,31,6
-34,28,6
-30,20,6
-32,17,6
-34,14,6
-35,10,6
-36,7,6
-34,3,6
-35,0,6
-34,-3,6
-34,-6,6
-33,-10,6
-29,-12,6
-28,-15,6
-26,-17,6
-24,-20,6
-22,-22,6
-19,-23,6
-16,-24,6
-14,-26,6
-11,-27,6
-8,-28,6
-5,-27,6
-2,-27,6
0,-28,6
2,-27,6
5,-27,6
8,-26,6
10,-25,6
13,-24,6
15,-23,6
17,-21,6
20,-20,6
22,-18,6
24,-16,6
25,-13,6
26,-11,6
29,-8,6
30,-6,6
30,-3,6
31,0,6
33,3,9
33,6,9
32,9,9
31,13,9
29,16,9
32,21,9
30,24,9
27,27,9
24,30,9
21,32,9
18,35,9
15,36,9
11,38,9
7,39,9
3,39,9
0,39,9
-3,38,9
-7,38,9
-11,37,9
-14,36,9
-23,43,9
-27,40,9
-31,37,9
-34,34,9
-37,31,9
-32,21,9
-34,18,9
-36,14,9
-37,11,9
-38,7,9
-35,3,9
-36,0,9
-35,-3,9
-35,-7,9
-34,-10,9
-31,-13,9
-29,-16,9
-28,-18,9
-26,-21,9
-24,-24,9
-20,-24,9
-17,-26,9
-15,-28,9
-12,-29,9
-9,-30,9
-6,-30,9
-3,-30,9
0,-31,9
3,-30,9
6,-30,9
8,-29,9
11,-28,9
14,-27,9
17,-25,9
19,-23,9
21,-21,9
23,-19,9
25,-17,9
27,-14,9
28,-11,9
31,-9,9
32,-6,9
32,-3,9
33,0,9
34,3,12
34,6,12
33,10,12
32,13,12
30,16,12
33,22,12
30,25,12
28,28,12
25,30,12
22,33,12
19,36,12
15,37,12
11,39,12
7,40,12
4,40,12
0,41,12
-4,40,12
-7,40,12
-11,39,12
-15,37,12
-24,44,12
-28,42,12
-32,39,12
-36,36,12
-39,32,12
-32,21,12
-34,18,12
-36,14,12
-37,11,12
-38,7,12
-36,3,12
-37,0,12
-36,-3,12
-36,-7,12
-35,-10,12
-33,-13,12
-31,-16,12
-29,-20,12
-27,-22,12
-25,-25,12
-21,-26,12
-18,-28,12
-16,-29,12
-13,-31,12
-9,-32,12
-6,-32,12
-3,-32,12
0,-33,12
3,-32,12
6,-32,12
9,-30,12
12,-29,12
15,-28,12
17,-26,12
20,-24,12
24,-24,12
26,-21,12
28,-18,12
29,-16,12
31,-13,12
32,-9,12
33,-6,12
33,-3,12
34,0,12
35,3,15
35,7,15
34,10,15
33,13,15
31,16,15
34,23,15
32,26,15
29,29,15
26,32,15
23,34,15
20,37,15
16,39,15
12,41,15
8,42,15
4,42,15
0,44,15
-4,43,15
-8,43,15
-12,42,15
-16,40,15
-25,47,15
-30,44,15
-34,41,15
-38,38,15
-41,34,15
-34,22,15
-36,19,15
-37,15,15
-39,11,15
-40,7,15
-39,3,15
-40,0,15
-39,-3,15
-39,-7,15
-38,-11,15
-35,-14,15
-33,-17,15
-31,-21,15
-29,-24,15
-26,-26,15
-22,-27,15
-20,-29,15
-16,-31,15
-13,-33,15
-10,-34,15
-6,-34,15
-3,-34,15
0,-35,15
3,-34,15
6,-34,15
10,-33,15
13,-32,15
16,-30,15
19,-29,15
22,-27,15
25,-25,15
27,-22,15
29,-20,15
31,-16,15
33,-13,15
35,-10,15
36,-7,15
36,-3,15
37,0,15
37,3,18
37,7,18
36,11,18
35,14,18
33,17,18
34,23,18
32,26,18
29,29,18
26,32,18
23,34,18
21,39,18
17,41,18
13,43,18
8,44,18
4,44,18
0,45,18
-4,44,18
-8,44,18
-13,43,18
-17,41,18
-25,48,18
-30,45,18
-34,42,18
-38,38,18
-42,34,18
-35,23,18
-37,20,18
-39,16,18
-41,12,18
-42,8,18
-41,4,18
-42,0,18
-41,-4,18
-41,-8,18
-40,-12,18
-36,-14,18
-34,-18,18
-32,-21,18
-30,-24,18
-27,-27,18
-24,-29,18
-21,-31,18
-17,-33,18
-14,-35,18
-11,-36,18
-7,-36,18
-3,-36,18
0,-37,18
3,-36,18
7,-36,18
10,-34,18
